mid ,date ,venue,bat_team,bow_team,batsman,bowler,runs,wickets,overs,runs_last5,wickets_last 5,striker,nonstriker,total
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,121,3,13.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,123,3,13.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,thakur,124,3,14.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,thakur,128,3,14.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,thakur,128,3,14.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,thakur,130,3,14.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,thakur,131,3,14.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,thakur,132,3,14.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,suyashsharma,134,3,15.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,suyashsharma,136,3,15.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,suyashsharma,140,3,15.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,suyashsharma,142,3,15.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,suyashsharma,143,3,15.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,suyashsharma,144,3,15.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,ferguson,146,3,16.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,ferguson,147,3,16.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,ferguson,148,3,16.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,ferguson,149,3,16.4,,,,,204
